,TORONTO_CITY,TORONTO_CITY_CENTRE,TORONTO_INTL_A,TORONTO_NORTH_YORK
TORONTO_CITY,1.0,0.9880325929307258,0.9754023016160321,0.9397602106505445
TORONTO_CITY_CENTRE,0.9880325929307258,1.0,0.9676738905307095,0.9323998562078731
TORONTO_INTL_A,0.9754023016160321,0.9676738905307095,1.0,0.903353349334671
TORONTO_NORTH_YORK,0.9397602106505445,0.9323998562078731,0.903353349334671,1.0
